Country,Clicks,Impressions,CTR,Position
Netherlands,0,153,0%,77.87
Sweden,0,93,0%,59.86
Denmark,0,78,0%,52.85
United States,0,70,0%,72.53
Norway,0,66,0%,56.98
Ukraine,0,58,0%,70.98
Belgium,0,48,0%,60.52
Canada,0,46,0%,78.96
France,0,35,0%,30.74
Japan,0,34,0%,83.47
Greece,0,30,0%,72.77
Germany,0,29,0%,62.66
Italy,0,27,0%,63.85
Switzerland,0,23,0%,77.13
Romania,0,23,0%,81.87
Russia,0,21,0%,45.9
Spain,0,20,0%,76.4
Brazil,0,18,0%,59.11
Bulgaria,0,18,0%,61.33
Poland,0,18,0%,64.94
Turkey,0,16,0%,72.06
Australia,0,15,0%,69.67
Mexico,0,15,0%,71.13
India,0,12,0%,70.08
Czechia,0,9,0%,40.11
United Kingdom,0,9,0%,72
South Korea,0,8,0%,47.38
Vietnam,0,7,0%,50
Latvia,0,6,0%,59
Saudi Arabia,0,5,0%,58.6
Colombia,0,4,0%,67.5
Philippines,0,4,0%,77.75
New Zealand,0,4,0%,83
Austria,0,3,0%,34.33
Bangladesh,0,3,0%,38
Indonesia,0,2,0%,74.5
Argentina,0,2,0%,77
Cyprus,0,1,0%,4
Lithuania,0,1,0%,42
Algeria,0,1,0%,46
Chile,0,1,0%,53
Angola,0,1,0%,56
Egypt,0,1,0%,57
United Arab Emirates,0,1,0%,86
Iceland,0,1,0%,89
Taiwan,0,1,0%,92
