Country,Clicks,Impressions,CTR,Position
India,1,16,6.25%,62.38
Netherlands,0,167,0%,75.56
Denmark,0,112,0%,50.89
Sweden,0,102,0%,58.66
United States,0,84,0%,71.4
Norway,0,82,0%,56.45
Ukraine,0,77,0%,73.69
Greece,0,71,0%,87.41
Belgium,0,55,0%,58.73
Canada,0,47,0%,79.04
France,0,44,0%,34.02
Romania,0,41,0%,75.95
Japan,0,37,0%,81.22
Germany,0,35,0%,61.8
Poland,0,34,0%,56.06
Brazil,0,30,0%,65.37
Italy,0,29,0%,63.07
Turkey,0,28,0%,77.86
Mexico,0,27,0%,78.3
Switzerland,0,26,0%,76.96
Spain,0,25,0%,74.04
Russia,0,22,0%,44.73
United Kingdom,0,22,0%,80.59
Bulgaria,0,20,0%,59.8
Australia,0,15,0%,69.67
Czechia,0,13,0%,38
Latvia,0,12,0%,65.67
South Korea,0,10,0%,47.6
Philippines,0,9,0%,67.44
Vietnam,0,8,0%,46.38
Saudi Arabia,0,6,0%,52.17
Bangladesh,0,5,0%,52.6
New Zealand,0,5,0%,66.8
Colombia,0,4,0%,67.5
Austria,0,3,0%,34.33
Peru,0,3,0%,94.67
Indonesia,0,2,0%,74.5
Argentina,0,2,0%,77
Cyprus,0,1,0%,4
Lithuania,0,1,0%,42
Algeria,0,1,0%,46
Chile,0,1,0%,53
Angola,0,1,0%,56
Egypt,0,1,0%,57
United Arab Emirates,0,1,0%,86
Iceland,0,1,0%,89
Taiwan,0,1,0%,92
